Frame,X,Y
319,364.0,548.0
320,364.0,550.0
321,366.0,550.0
322,366.0,552.0
323,366.0,552.0
324,366.0,554.0
325,368.0,554.0
326,368.0,554.0
327,368.0,554.0
328,368.0,556.0
329,368.0,556.0
330,370.0,556.0
331,370.0,556.0
332,370.0,556.0
333,370.0,558.0
334,370.0,558.0
335,370.0,558.0
336,370.0,558.0
337,370.0,558.0
338,370.0,556.0
339,370.0,556.0
340,370.0,556.0
341,368.0,556.0
342,368.0,556.0
343,368.0,556.0
344,368.0,556.0
345,368.0,554.0
346,366.0,554.0
347,366.0,552.0
348,366.0,552.0
349,366.0,552.0
350,364.0,550.0
351,364.0,550.0
352,364.0,548.0
353,362.0,548.0
354,362.0,546.0
355,360.0,546.0
356,360.0,544.0
357,360.0,542.0
358,358.0,542.0
359,358.0,540.0
360,356.0,538.0
361,354.0,538.0
362,354.0,536.0
363,352.0,534.0
364,352.0,532.0
365,350.0,530.0
366,348.0,530.0
367,348.0,528.0
368,346.0,526.0
369,346.0,524.0
370,344.0,524.0
371,342.0,522.0
372,342.0,520.0
373,340.0,518.0
374,340.0,516.0
375,338.0,514.0
376,336.0,512.0
377,334.0,510.0
378,334.0,508.0
379,332.0,506.0
380,332.0,506.0
381,330.0,504.0
382,328.0,502.0
383,328.0,500.0
384,326.0,498.0
385,324.0,496.0
386,324.0,494.0
387,322.0,492.0
388,320.0,492.0
389,320.0,490.0
390,318.0,488.0
391,316.0,486.0
392,316.0,484.0
393,314.0,482.0
394,314.0,482.0
395,312.0,480.0
396,312.0,478.0
397,310.0,476.0
398,308.0,476.0
399,308.0,474.0
400,308.0,472.0
401,306.0,472.0
402,306.0,470.0
403,304.0,470.0
404,304.0,468.0
405,304.0,466.0
406,302.0,466.0
407,302.0,464.0
408,302.0,464.0
409,300.0,464.0
410,300.0,462.0
411,298.0,462.0
412,298.0,460.0
413,298.0,460.0
414,298.0,460.0
415,298.0,458.0
416,298.0,458.0
417,298.0,458.0
418,296.0,458.0
419,296.0,458.0
420,296.0,458.0
421,296.0,458.0
422,296.0,458.0
423,296.0,458.0
424,296.0,458.0
425,296.0,458.0
426,296.0,458.0
427,298.0,458.0
428,298.0,458.0
429,298.0,460.0
430,298.0,460.0
431,298.0,460.0
432,298.0,460.0
433,300.0,460.0
434,300.0,462.0
435,300.0,462.0
436,300.0,464.0
437,302.0,464.0
438,302.0,466.0
439,302.0,466.0
440,304.0,468.0
441,304.0,468.0
442,304.0,470.0
443,306.0,472.0
444,308.0,472.0
445,308.0,474.0
446,308.0,474.0
447,310.0,476.0
448,312.0,478.0
449,312.0,480.0
450,314.0,480.0
451,314.0,482.0
452,316.0,484.0
453,316.0,486.0
454,318.0,486.0
455,320.0,488.0
456,320.0,490.0
457,322.0,492.0
458,322.0,494.0
459,324.0,496.0
460,326.0,498.0
461,328.0,498.0
462,328.0,500.0
463,330.0,502.0
464,330.0,504.0
465,332.0,506.0
466,334.0,508.0
467,334.0,510.0
468,336.0,512.0
469,338.0,514.0
470,338.0,516.0
471,340.0,516.0
472,342.0,518.0
473,342.0,520.0
474,344.0,522.0
475,346.0,524.0
476,346.0,526.0
477,348.0,528.0
478,350.0,528.0
479,350.0,530.0
480,352.0,532.0
481,352.0,534.0
482,354.0,536.0
483,354.0,536.0
484,356.0,538.0
485,356.0,540.0
486,358.0,540.0
487,358.0,542.0
488,360.0,544.0
489,360.0,544.0
490,360.0,546.0
491,362.0,546.0
492,362.0,548.0
493,364.0,548.0
494,364.0,550.0
495,364.0,552.0
496,366.0,552.0
497,366.0,552.0
498,366.0,554.0
499,366.0,554.0
500,368.0,554.0
501,368.0,556.0
502,368.0,556.0
503,368.0,556.0
504,368.0,556.0
505,368.0,558.0
506,368.0,558.0
507,368.0,558.0
508,368.0,558.0
509,370.0,558.0
510,368.0,558.0
511,370.0,556.0
512,370.0,556.0
513,370.0,556.0
514,370.0,556.0
515,368.0,556.0
516,368.0,556.0
517,368.0,556.0
518,368.0,554.0
519,368.0,554.0
520,366.0,554.0
521,366.0,552.0
522,366.0,552.0
523,366.0,550.0
524,364.0,550.0
525,364.0,550.0
526,364.0,548.0
527,362.0,548.0
528,362.0,546.0
529,360.0,546.0
530,360.0,544.0
531,358.0,544.0
532,358.0,542.0
533,356.0,540.0
534,356.0,538.0
535,354.0,538.0
536,354.0,536.0
537,352.0,534.0
538,352.0,532.0
539,350.0,532.0
540,349.0,530.0
541,348.0,528.0
542,348.0,526.0
543,346.0,524.0
544,344.0,524.0
545,344.0,522.0
546,342.0,520.0
547,340.0,518.0
548,338.0,516.0
549,338.0,514.0
550,336.0,512.0
551,336.0,510.0
552,334.0,508.0
553,332.0,508.0
554,332.0,506.0
555,330.0,504.0
556,328.0,502.0
557,328.0,500.0
558,326.0,498.0
559,324.0,496.0
560,324.0,494.0
561,322.0,494.0
562,320.0,492.0
563,320.0,490.0
564,318.0,488.0
565,318.0,486.0
566,316.0,484.0
567,316.0,484.0
568,314.0,482.0
569,314.0,480.0
570,312.0,478.0
571,310.0,478.0
572,310.0,476.0
573,308.0,474.0
574,308.0,474.0
575,308.0,472.0
576,306.0,470.0
577,304.0,470.0
578,304.0,468.0
579,304.0,468.0
580,302.0,466.0
581,302.0,466.0
582,300.0,464.0
583,300.0,464.0
584,300.0,462.0
585,300.0,462.0
586,298.0,462.0
587,298.0,462.0
588,298.0,460.0
589,298.0,460.0
590,298.0,460.0
591,298.0,458.0
592,298.0,458.0
593,296.0,458.0
594,296.0,458.0
595,296.0,458.0
596,296.0,458.0
597,296.0,458.0
598,296.0,458.0
599,296.0,458.0
600,298.0,458.0
601,298.0,458.0
602,298.0,460.0
603,298.0,460.0
604,298.0,460.0
605,298.0,460.0
606,298.0,462.0
607,300.0,462.0
608,300.0,462.0
609,300.0,464.0
610,302.0,464.0
611,302.0,464.0
612,302.0,466.0
613,304.0,468.0
614,304.0,468.0
615,304.0,470.0
616,306.0,470.0
617,306.0,472.0
618,308.0,472.0
619,308.0,474.0
620,310.0,474.0
621,310.0,476.0
622,312.0,478.0
623,312.0,480.0
624,314.0,480.0
625,314.0,482.0
626,316.0,484.0
627,316.0,486.0
628,318.0,488.0
629,320.0,490.0
630,320.0,490.0
631,322.0,492.0
632,322.0,494.0
633,324.0,496.0
634,326.0,498.0
635,328.0,500.0
636,328.0,502.0
637,330.0,502.0
638,332.0,504.0
639,332.0,506.0
640,334.0,508.0
641,334.0,510.0
642,336.0,512.0
643,338.0,514.0
644,338.0,514.0
645,340.0,516.0
